K,r,eigval_0,eigval_1,eigval_2,eigval_3,eigval_4,eigval_5,eigval_6,eigval_7,eigval_8,eigval_9
2.8210000000000197,0.9949730621724074,-17.79187691366941,-15.878522969017608,-14.999735986590208,-14.005222611650362,-11.803056224226854,-10.582969014524249,-7.123409397869284,-6.304815138510045,-2.474534589247141,1.745491627484743e-15
2.8220000000000196,0.9949766447424803,-17.798244516704127,-15.884215434394182,-15.005093833498483,-14.010258426646036,-11.807299140252743,-10.586761934043166,-7.125974513001914,-6.307086378660629,-2.4754210035868027,5.292441381749765e-16
2.8230000000000195,0.9949802234765176,-17.804612097956184,-15.889907877175402,-15.01045166598079,-14.015294215788726,-11.811542034740569,-10.590554838475423,-7.128539614030204,-6.3093576044437505,-2.476307414424416,3.160198313930806e-15
2.8240000000000194,0.9949837983800051,-17.81097965744905,-15.89560029738526,-15.015809484052486,-14.020329979106545,-11.815784907713926,-10.594347727837473,-7.131104700969021,-6.311628815876395,-2.4771938217639526,6.868673724720502e-16
2.8250000000000193,0.994987369458419,-17.817347195206143,-15.901292695047733,-15.021167287728941,-14.025365716627594,-11.820027759196398,-10.59814060214578,-7.13366977383323,-6.313900012975538,-2.4780802256093746,5.377283931723102e-15
2.826000000000019,0.9949909367172248,-17.823714711250886,-15.906985070186769,-15.026525077025477,-14.03040142837992,-11.824270589211508,-10.601933461416785,-7.13623483263765,-6.31617119575808,-2.4789666259646777,-3.96924406516465e-15
2.827000000000019,0.9949945001618793,-17.830082205606608,-15.912677422826256,-15.031882851957402,-14.03543711439152,-11.82851339778275,-10.605726305666883,-7.138799877397118,-6.318442364240929,-2.4798530228338134,2.4579060947000266e-15
2.828000000000019,0.9949980597978287,-17.836449678296677,-15.918369752990074,-15.037240612540016,-14.040472774690382,-11.832756184933618,-10.60951913491247,-7.141364908126399,-6.320713518440984,-2.480739416220729,-5.605728797687074e-15
2.829000000000019,0.99500161563051,-17.842817129344372,-15.924062060702049,-15.04259835878858,-14.045508409304423,-11.836998950687505,-10.613311949169894,-7.143929924840296,-6.32298465837505,-2.481625806129405,5.421969439815099e-15
2.8300000000000187,0.9950051676653503,-17.84918455877297,-15.929754345986,-15.047956090718337,-14.050544018261524,-11.84124169506785,-10.617104748455512,-7.14649492755354,-6.3252557840599675,-2.482512192563757,-2.423029205408994e-15
