K,r,converged,min_eigval,max_eigval,max_real,num_unstable,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
2.7410000000000285,0.9962837953048881,True,-18.53146164902389,4.814652375655489e-15,-2.6196404517621454,0,0.0,-0.11504044921830679,-0.021395058962139345,-0.18475682631739213,-0.09779911509977647,-0.18285032062295467,-0.01704927751222835,-0.11907931099975966,-0.06638308528922945,-0.2911065385873831
2.7420000000000284,0.9962865263505649,True,-18.53829432358221,6.240194863011333e-16,-2.620608406472011,0,0.0,-0.1149982766126257,-0.021387224160347135,-0.18468907023249767,-0.09776323608621064,-0.18278324905293727,-0.017043121468907803,-0.11903572748612377,-0.06635896243995518,-0.2909993232772588
2.7430000000000283,0.9962892543787701,True,-18.545126971450568,-9.171704563260434e-16,-2.6215763564090606,0,0.0,-0.11495613499674344,-0.021379395106962646,-0.18462136396582568,-0.09772738346758224,-0.1827162268141987,-0.017036969845160017,-0.11899217592269352,-0.06633485708102994,-0.29089218731541006
2.744000000000028,0.9962919793939594,True,-18.551959592658726,1.2248953776845093e-15,-2.622544301578888,0,0.0,-0.11491402433642399,-0.021371571795647845,-0.184553707462297,-0.09769155721468718,-0.18264925385217368,-0.01703082263625659,-0.1189486562742834,-0.06631076919348143,-0.290785130613324
2.745000000000028,0.9962947014005804,True,-18.55879218723641,-7.683527854955666e-15,-2.6235122419870587,0,0.0,-0.11487194459748146,-0.02136375422007348,-0.18448610066691318,-0.097655757298364,-0.18258233011237712,-0.01702467983747524,-0.11890516850575905,-0.06628669875836417,-0.29067815308261924
2.746000000000028,0.9962974204030718,True,-18.56562475521325,-1.3082649823147518e-15,-2.6244801776391458,0,0.0,-0.11482989574578063,-0.021355942373920016,-0.18441854352475753,-0.09761998368949473,-0.18251545554040483,-0.01701854144410073,-0.11886171258203816,-0.06626264575676032,-0.290571254635047
2.747000000000028,0.9963001364058652,True,-18.572457296618897,3.881416806752189e-15,-2.625448108540703,0,0.0,-0.11478787774723662,-0.02134813625087705,-0.18435103598099428,-0.09758423635900437,-0.18244863008193288,-0.017012407451424384,-0.11881828846808985,-0.06623861016977918,-0.29046443518249015
2.7480000000000278,0.9963028494133832,True,-18.579289811482916,1.879789488870568e-15,-2.626416034697285,0,0.0,-0.11474589056781484,-0.021340335844643572,-0.18428357798086864,-0.09754851527786089,-0.18238185368271767,-0.01700627785474425,-0.11877489612893477,-0.06621459197855735,-0.29035769463696315
2.7490000000000276,0.9963055594300403,True,-18.58612229983482,-1.5879691930556304e-15,-2.6273839561144237,0,0.0,-0.11470393417353078,-0.021332541148927704,-0.18421616946970656,-0.09751282041707501,-0.18231512628859545,-0.017000152649364875,-0.11873153552964476,-0.06619059116425847,-0.2902510329106116
2.7500000000000275,0.996308266460243,True,-18.59295476170412,-4.4257228108572685e-15,-2.6283518727976536,0,0.0,-0.11466200853045008,-0.021324752157446922,-0.1841488103929146,-0.0974771517477004,-0.18224844784548264,-0.016994031830597632,-0.11868820663534312,-0.0661666077080734,-0.29014444991571237
2.7510000000000274,0.9963109705083899,True,-18.59978719712024,2.3102401159289865e-15,-2.629319784752499,0,0.0,-0.11462011360468834,-0.021316968863927848,-0.18408150069597998,-0.09744150924083332,-0.1821818182993753,-0.01698791539376035,-0.11864490941120415,-0.06614264159121994,-0.29003794556467294
2.7520000000000273,0.9963136715788711,True,-18.606619606112588,-4.814850076616758e-16,-2.6302876919844667,0,0.0,-0.11457824936241112,-0.02130919126210645,-0.18401424032447014,-0.09740589286761289,-0.18211523759634932,-0.016981803334177627,-0.11860164382245347,-0.06611869279494312,-0.2899315197700318
2.753000000000027,0.9963163696760686,True,-18.61345198871048,5.196573579514428e-15,-2.6312555944990677,0,0.0,-0.1145364157698337,-0.021301419345727806,-0.18394702922403272,-0.09737030259922055,-0.1820487056825599,-0.01697569564718058,-0.11855840983436747,-0.06609476130051475,-0.2898251724444572
2.754000000000027,0.9963190648043565,True,-18.620284344943304,-5.143352017640744e-15,-2.632223492301797,0,0.0,-0.11449461279322105,-0.021293653108546116,-0.18387986734039546,-0.09733473840688031,-0.18198222250424165,-0.01696959232810687,-0.11851520741227349,-0.06607084708923362,-0.2897189035007479
2.755000000000027,0.996321756968101,True,-18.627116674840256,-2.4450671796793697e-15,-2.633191385398139,0,0.0,-0.1144528403988879,-0.021285892544324923,-0.183812754619366,-0.09729920026185868,-0.18191578800770838,-0.01696349337230086,-0.11847203652154975,-0.0660469501424254,-0.2896127128518323
2.756000000000027,0.99632444617166,True,-18.63394897843059,-3.5100739340344705e-15,-2.6341592737935793,0,0.0,-0.11441109855319835,-0.021278137646836722,-0.18374569100683172,-0.09726368813546432,-0.181849402139353,-0.016957398775113375,-0.11842889712762507,-0.06602307044144255,-0.2895066004107685
2.7570000000000268,0.9963271324193831,True,-18.64078125574349,1.0872419877723794e-16,-2.63512715749358,0,0.0,-0.11436938722256614,-0.021270388409863377,-0.1836786764487597,-0.09722820199904844,-0.1817830648456474,-0.01695130853190197,-0.11838578919597911,-0.06599920796766455,-0.28940056609074405
